grid,modality,embedding,discriminability
"('triple', 'median', '0.22', 'corr', '180', '3')",func,ASE,0.7756473163735185
"('triple', 'median', '0.22', 'corr', '180', '0')",func,ASE,0.7713439935662159
"('triple', 'median', '0.22', 'corr', '180', '6')",func,ASE,0.7770545057779101
"('kmeans', 'median', '0.22', 'corr', '180', '3')",func,ASE,0.7642004114606855
"('kmeans', 'median', '0.22', 'corr', '180', '0')",func,ASE,0.7626162018592298
"('kmeans', 'median', '0.22', 'corr', '180', '6')",func,ASE,0.7867945392264459
"('triple', 'median', '0.22', 'corr', '135', '3')",func,ASE,0.7773142832844325
"('triple', 'median', '0.22', 'corr', '135', '0')",func,ASE,0.7713309405152305
"('triple', 'median', '0.22', 'corr', '135', '6')",func,ASE,0.7873878890660727
"('kmeans', 'median', '0.22', 'corr', '135', '3')",func,ASE,0.7811216980401271
"('kmeans', 'median', '0.22', 'corr', '135', '0')",func,ASE,0.7715833121773715
"('kmeans', 'median', '0.22', 'corr', '135', '6')",func,ASE,0.7964943334070852
"('triple', 'median', '0.22', 'corr', '228', '3')",func,ASE,0.7728580783016267
"('triple', 'median', '0.22', 'corr', '228', '0')",func,ASE,0.7641314670300178
"('triple', 'median', '0.22', 'corr', '228', '6')",func,ASE,0.777731690966985
"('kmeans', 'median', '0.22', 'corr', '228', '3')",func,ASE,0.7676853061468446
"('kmeans', 'median', '0.22', 'corr', '228', '0')",func,ASE,0.7658939825606492
"('kmeans', 'median', '0.22', 'corr', '228', '6')",func,ASE,0.7894696796773949
"('triple', 'median', '0.22', 'corr', '77', '3')",func,ASE,0.778636773611648
"('triple', 'median', '0.22', 'corr', '77', '0')",func,ASE,0.7769067723887001
"('triple', 'median', '0.22', 'corr', '77', '6')",func,ASE,0.781643091584612
"('kmeans', 'median', '0.22', 'corr', '77', '3')",func,ASE,0.7855585027998822
"('kmeans', 'median', '0.22', 'corr', '77', '0')",func,ASE,0.7693624577322391
"('kmeans', 'median', '0.22', 'corr', '77', '6')",func,ASE,0.7927227153188693
"('triple', 'median', '0.22', 'cov', '180', '3')",func,ASE,0.7702482702482701
"('triple', 'median', '0.22', 'cov', '180', '0')",func,ASE,0.7681581024954518
"('triple', 'median', '0.22', 'cov', '180', '6')",func,ASE,0.7698424587421666
"('kmeans', 'median', '0.22', 'cov', '180', '3')",func,ASE,0.7561047111771748
"('kmeans', 'median', '0.22', 'cov', '180', '0')",func,ASE,0.7631868131868131
"('kmeans', 'median', '0.22', 'cov', '180', '6')",func,ASE,0.7729383007693947
"('triple', 'median', '0.22', 'cov', '135', '3')",func,ASE,0.770584540693776
"('triple', 'median', '0.22', 'cov', '135', '0')",func,ASE,0.762534188034188
"('triple', 'median', '0.22', 'cov', '135', '6')",func,ASE,0.7789588970493493
"('kmeans', 'median', '0.22', 'cov', '135', '3')",func,ASE,0.7782607570700405
"('kmeans', 'median', '0.22', 'cov', '135', '0')",func,ASE,0.7679067043515901
"('kmeans', 'median', '0.22', 'cov', '135', '6')",func,ASE,0.7911537218035763
"('triple', 'median', '0.22', 'cov', '228', '3')",func,ASE,0.764859947533215
"('triple', 'median', '0.22', 'cov', '228', '0')",func,ASE,0.7616500891354693
"('triple', 'median', '0.22', 'cov', '228', '6')",func,ASE,0.7716309565624635
"('kmeans', 'median', '0.22', 'cov', '228', '3')",func,ASE,0.7624454560261982
"('kmeans', 'median', '0.22', 'cov', '228', '0')",func,ASE,0.7613656104509764
"('kmeans', 'median', '0.22', 'cov', '228', '6')",func,ASE,0.781499588351624
"('triple', 'median', '0.22', 'cov', '77', '3')",func,ASE,0.7733894629417017
"('triple', 'median', '0.22', 'cov', '77', '0')",func,ASE,0.7722306016423663
"('triple', 'median', '0.22', 'cov', '77', '6')",func,ASE,0.7761344399025558
"('kmeans', 'median', '0.22', 'cov', '77', '3')",func,ASE,0.7816001203097978
"('kmeans', 'median', '0.22', 'cov', '77', '0')",func,ASE,0.7690217854888514
"('kmeans', 'median', '0.22', 'cov', '77', '6')",func,ASE,0.7866919116919118
"('triple', 'median', '0.22', 'partcorr', '180', '3')",func,ASE,0.7923736336199244
"('triple', 'median', '0.22', 'partcorr', '180', '0')",func,ASE,0.8020485415274995
"('triple', 'median', '0.22', 'partcorr', '180', '6')",func,ASE,0.8054286603137178
"('kmeans', 'median', '0.22', 'partcorr', '180', '3')",func,ASE,0.7867024639358933
"('kmeans', 'median', '0.22', 'partcorr', '180', '0')",func,ASE,0.7733368492428238
"('kmeans', 'median', '0.22', 'partcorr', '180', '6')",func,ASE,0.8052782671103282
"('triple', 'median', '0.22', 'partcorr', '135', '3')",func,ASE,0.7921275347745936
"('triple', 'median', '0.22', 'partcorr', '135', '0')",func,ASE,0.7817916149533038
"('triple', 'median', '0.22', 'partcorr', '135', '6')",func,ASE,0.7920001359365176
"('kmeans', 'median', '0.22', 'partcorr', '135', '3')",func,ASE,0.7782725147994609
"('kmeans', 'median', '0.22', 'partcorr', '135', '0')",func,ASE,0.7709419259727268
"('kmeans', 'median', '0.22', 'partcorr', '135', '6')",func,ASE,0.8035278626015866
"('triple', 'median', '0.22', 'partcorr', '228', '3')",func,ASE,0.7906368678685629
"('triple', 'median', '0.22', 'partcorr', '228', '0')",func,ASE,0.7805395662538519
"('triple', 'median', '0.22', 'partcorr', '228', '6')",func,ASE,0.8026330164973233
"('kmeans', 'median', '0.22', 'partcorr', '228', '3')",func,ASE,0.7847222222222222
"('kmeans', 'median', '0.22', 'partcorr', '228', '0')",func,ASE,0.7880558260305096
"('kmeans', 'median', '0.22', 'partcorr', '228', '6')",func,ASE,0.8124160702718929
"('triple', 'median', '0.22', 'partcorr', '77', '3')",func,ASE,0.7844264055319332
"('triple', 'median', '0.22', 'partcorr', '77', '0')",func,ASE,0.7950691655510933
"('triple', 'median', '0.22', 'partcorr', '77', '6')",func,ASE,0.7897640208397181
"('kmeans', 'median', '0.22', 'partcorr', '77', '3')",func,ASE,0.7797258015532127
"('kmeans', 'median', '0.22', 'partcorr', '77', '0')",func,ASE,0.7837544254908271
"('kmeans', 'median', '0.22', 'partcorr', '77', '6')",func,ASE,0.7906698136823659
"('triple', 'median', '0.15', 'corr', '180', '3')",func,ASE,0.8242578398272349
"('triple', 'median', '0.15', 'corr', '180', '0')",func,ASE,0.8132575419160786
"('triple', 'median', '0.15', 'corr', '180', '6')",func,ASE,0.8226383462810783
"('kmeans', 'median', '0.15', 'corr', '180', '3')",func,ASE,0.8186511319503647
"('kmeans', 'median', '0.15', 'corr', '180', '0')",func,ASE,0.8048741048741048
"('kmeans', 'median', '0.15', 'corr', '180', '6')",func,ASE,0.8357673423139872
"('triple', 'median', '0.15', 'corr', '135', '3')",func,ASE,0.8192004554461303
"('triple', 'median', '0.15', 'corr', '135', '0')",func,ASE,0.8132551683833735
"('triple', 'median', '0.15', 'corr', '135', '6')",func,ASE,0.8275269818052878
"('kmeans', 'median', '0.15', 'corr', '135', '3')",func,ASE,0.83684052950108
"('kmeans', 'median', '0.15', 'corr', '135', '0')",func,ASE,0.819674878498408
"('kmeans', 'median', '0.15', 'corr', '135', '6')",func,ASE,0.8417092675334434
"('triple', 'median', '0.15', 'corr', '228', '3')",func,ASE,0.8175415749846573
"('triple', 'median', '0.15', 'corr', '228', '0')",func,ASE,0.803694635259622
"('triple', 'median', '0.15', 'corr', '228', '6')",func,ASE,0.8229481423925867
"('kmeans', 'median', '0.15', 'corr', '228', '3')",func,ASE,0.8059851375778269
"('kmeans', 'median', '0.15', 'corr', '228', '0')",func,ASE,0.8032554847841471
"('kmeans', 'median', '0.15', 'corr', '228', '6')",func,ASE,0.8322596419611344
"('triple', 'median', '0.15', 'corr', '77', '3')",func,ASE,0.8097790231354844
"('triple', 'median', '0.15', 'corr', '77', '0')",func,ASE,0.8178476242992372
"('triple', 'median', '0.15', 'corr', '77', '6')",func,ASE,0.8318156053758149
"('kmeans', 'median', '0.15', 'corr', '77', '3')",func,ASE,0.8358595603578881
"('kmeans', 'median', '0.15', 'corr', '77', '0')",func,ASE,0.8284435984947931
"('kmeans', 'median', '0.15', 'corr', '77', '6')",func,ASE,0.8493623877010459
"('triple', 'median', '0.15', 'cov', '180', '3')",func,ASE,0.8132711732711734
"('triple', 'median', '0.15', 'cov', '180', '0')",func,ASE,0.8003063308373043
"('triple', 'median', '0.15', 'cov', '180', '6')",func,ASE,0.8159821496104682
"('kmeans', 'median', '0.15', 'cov', '180', '3')",func,ASE,0.8122721295798219
"('kmeans', 'median', '0.15', 'cov', '180', '0')",func,ASE,0.7911755817467513
"('kmeans', 'median', '0.15', 'cov', '180', '6')",func,ASE,0.826848040476803
"('triple', 'median', '0.15', 'cov', '135', '3')",func,ASE,0.8116168779030939
"('triple', 'median', '0.15', 'cov', '135', '0')",func,ASE,0.802170490328385
"('triple', 'median', '0.15', 'cov', '135', '6')",func,ASE,0.8155006858710563
"('kmeans', 'median', '0.15', 'cov', '135', '3')",func,ASE,0.8250531903226515
"('kmeans', 'median', '0.15', 'cov', '135', '0')",func,ASE,0.7994768641320366
"('kmeans', 'median', '0.15', 'cov', '135', '6')",func,ASE,0.8358785048694811
"('triple', 'median', '0.15', 'cov', '228', '3')",func,ASE,0.8054030682756971
"('triple', 'median', '0.15', 'cov', '228', '0')",func,ASE,0.7921373631829397
"('triple', 'median', '0.15', 'cov', '228', '6')",func,ASE,0.8179524340393906
"('kmeans', 'median', '0.15', 'cov', '228', '3')",func,ASE,0.7957295591704194
"('kmeans', 'median', '0.15', 'cov', '228', '0')",func,ASE,0.7915211140419667
"('kmeans', 'median', '0.15', 'cov', '228', '6')",func,ASE,0.8208271018921908
"('triple', 'median', '0.15', 'cov', '77', '3')",func,ASE,0.7996105445622567
"('triple', 'median', '0.15', 'cov', '77', '0')",func,ASE,0.8041503041503042
"('triple', 'median', '0.15', 'cov', '77', '6')",func,ASE,0.8248545190034552
"('kmeans', 'median', '0.15', 'cov', '77', '3')",func,ASE,0.8273372329976103
"('kmeans', 'median', '0.15', 'cov', '77', '0')",func,ASE,0.8140580484330484
"('kmeans', 'median', '0.15', 'cov', '77', '6')",func,ASE,0.8403943595311673
"('triple', 'median', '0.15', 'partcorr', '180', '3')",func,ASE,0.8302754223029813
"('triple', 'median', '0.15', 'partcorr', '180', '0')",func,ASE,0.8320457760497404
"('triple', 'median', '0.15', 'partcorr', '180', '6')",func,ASE,0.8268660968660969
"('kmeans', 'median', '0.15', 'partcorr', '180', '3')",func,ASE,0.8303756387239332
"('kmeans', 'median', '0.15', 'partcorr', '180', '0')",func,ASE,0.8194050286283295
"('kmeans', 'median', '0.15', 'partcorr', '180', '6')",func,ASE,0.8301185801185801
"('triple', 'median', '0.15', 'partcorr', '135', '3')",func,ASE,0.8259533861943501
"('triple', 'median', '0.15', 'partcorr', '135', '0')",func,ASE,0.8283360904328645
"('triple', 'median', '0.15', 'partcorr', '135', '6')",func,ASE,0.8293426052046743
"('kmeans', 'median', '0.15', 'partcorr', '135', '3')",func,ASE,0.8269786801385314
"('kmeans', 'median', '0.15', 'partcorr', '135', '0')",func,ASE,0.8094162781662783
"('kmeans', 'median', '0.15', 'partcorr', '135', '6')",func,ASE,0.8304003214259624
"('triple', 'median', '0.15', 'partcorr', '228', '3')",func,ASE,0.8300904041127505
"('triple', 'median', '0.15', 'partcorr', '228', '0')",func,ASE,0.8289398565294016
"('triple', 'median', '0.15', 'partcorr', '228', '6')",func,ASE,0.8315620528290212
"('kmeans', 'median', '0.15', 'partcorr', '228', '3')",func,ASE,0.8183986903909907
"('kmeans', 'median', '0.15', 'partcorr', '228', '0')",func,ASE,0.7996648863755367
"('kmeans', 'median', '0.15', 'partcorr', '228', '6')",func,ASE,0.8199232421552282
"('triple', 'median', '0.15', 'partcorr', '77', '3')",func,ASE,0.7991232480396567
"('triple', 'median', '0.15', 'partcorr', '77', '0')",func,ASE,0.7995424328757662
"('triple', 'median', '0.15', 'partcorr', '77', '6')",func,ASE,0.8159925181201778
"('kmeans', 'median', '0.15', 'partcorr', '77', '3')",func,ASE,0.827526061901062
"('kmeans', 'median', '0.15', 'partcorr', '77', '0')",func,ASE,0.8199621959237344
"('kmeans', 'median', '0.15', 'partcorr', '77', '6')",func,ASE,0.8358093143677086
"('triple', 'median', '0.08', 'corr', '180', '3')",func,ASE,0.8586841279148972
"('triple', 'median', '0.08', 'corr', '180', '0')",func,ASE,0.8596798903402676
"('triple', 'median', '0.08', 'corr', '180', '6')",func,ASE,0.8589890951959918
"('kmeans', 'median', '0.08', 'corr', '180', '3')",func,ASE,0.8564804977097795
"('kmeans', 'median', '0.08', 'corr', '180', '0')",func,ASE,0.8412297045515039
"('kmeans', 'median', '0.08', 'corr', '180', '6')",func,ASE,0.8641800034417484
"('triple', 'median', '0.08', 'corr', '135', '3')",func,ASE,0.8533781719890958
"('triple', 'median', '0.08', 'corr', '135', '0')",func,ASE,0.8433430081119297
"('triple', 'median', '0.08', 'corr', '135', '6')",func,ASE,0.85584954840274
"('kmeans', 'median', '0.08', 'corr', '135', '3')",func,ASE,0.8577959415638684
"('kmeans', 'median', '0.08', 'corr', '135', '0')",func,ASE,0.8521966716411162
"('kmeans', 'median', '0.08', 'corr', '135', '6')",func,ASE,0.8696900114810563
"('triple', 'median', '0.08', 'corr', '228', '3')",func,ASE,0.8576776724036999
"('triple', 'median', '0.08', 'corr', '228', '0')",func,ASE,0.8530927067512434
"('triple', 'median', '0.08', 'corr', '228', '6')",func,ASE,0.8551221454665074
"('kmeans', 'median', '0.08', 'corr', '228', '3')",func,ASE,0.8515200916721304
"('kmeans', 'median', '0.08', 'corr', '228', '0')",func,ASE,0.8400402776279355
"('kmeans', 'median', '0.08', 'corr', '228', '6')",func,ASE,0.8724845113734002
"('triple', 'median', '0.08', 'corr', '77', '3')",func,ASE,0.8379519590895996
"('triple', 'median', '0.08', 'corr', '77', '0')",func,ASE,0.8386249192240632
"('triple', 'median', '0.08', 'corr', '77', '6')",func,ASE,0.8554649323880094
"('kmeans', 'median', '0.08', 'corr', '77', '3')",func,ASE,0.8632943143812709
"('kmeans', 'median', '0.08', 'corr', '77', '0')",func,ASE,0.8545608802961746
"('kmeans', 'median', '0.08', 'corr', '77', '6')",func,ASE,0.8726180144641683
"('triple', 'median', '0.08', 'cov', '180', '3')",func,ASE,0.8527946661967281
"('triple', 'median', '0.08', 'cov', '180', '0')",func,ASE,0.8535587219797746
